county,juris,industry,emp_all
33,Black Diamond,4,59
33,Bothell,4,1225
33,Burien,4,804
33,Carnation,4,17
33,Clyde Hill,4,54
33,Covington,4,149
33,Des Moines,4,609
33,Duvall,4,80
33,Enumclaw,4,187
33,Federal Way,4,1940
33,Hunts Point,4,-99
33,Issaquah,4,2284
33,Kenmore,4,461
33,Kent,4,19214
33,Kirkland,4,3501
33,Lake Forest Park,4,56
33,Maple Valley,4,430
33,Medina,4,18
33,Mercer Island,4,261
33,Milton,4,-99
33,Newcastle,4,129
33,Normandy Park,4,49
33,North Bend,4,194
33,Pacific,4,95
33,Redmond,4,4639
33,Renton,4,6745
33,Sammamish,4,789
33,SeaTac,4,23696
33,Seattle,4,38180
33,Shoreline,4,598
33,Skykomish,4,0
33,Snoqualmie,4,498
33,Tukwila,4,5966
33,Unincorporated,4,3369
33,Woodinville,4,1825
33,Yarrow Point,4,4
35,Bainbridge Island,4,283
35,Bremerton,4,1037
35,Port Orchard,4,191
35,Poulsbo,4,316
35,Unincorporated,4,1366
53,Auburn,4,48
53,Bonney Lake,4,172
53,Buckley,4,118
53,Carbonado,4,0
53,DuPont,4,3456
53,Eatonville,4,6
53,Edgewood,4,98
53,Fife,4,5780
53,Fircrest,4,40
53,Gig Harbor,4,236
53,Lakewood,4,2013
53,Milton,4,62
53,Orting,4,-99
53,Pacific,4,820
53,Puyallup,4,2411
53,Roy,4,0
53,Ruston,4,-99
53,South Prairie,4,-99
53,Steilacoom,4,83
53,Sumner,4,7170
53,Tacoma,4,8193
53,Unincorporated,4,4624
53,University Place,4,250
53,Wilkeson,4,-99
61,Arlington,4,1654
61,Bothell,4,1054
61,Brier,4,43
61,Darrington,4,7
61,Edmonds,4,848
61,Everett,4,5654
61,Gold Bar,4,6
61,Granite Falls,4,20
61,Lake Stevens,4,676
61,Lynnwood,4,1369
61,Marysville,4,965
61,Mill Creek,4,423
61,Monroe,4,433
61,Mountlake Terrace,4,380
61,Mukilteo,4,760
61,Snohomish,4,161
61,Stanwood,4,83
61,Sultan,4,37
61,Unincorporated,4,4471
61,Woodway,4,18
99,Region,4,194880
33,Algona,5,48
33,Auburn,5,4736
33,Bellevue,5,13544
33,Black Diamond,5,36
33,Bothell,5,1227
33,Burien,5,2321
33,Carnation,5,36
33,Clyde Hill,5,9
33,Covington,5,1625
33,Des Moines,5,672
33,Duvall,5,124
33,Enumclaw,5,805
33,Federal Way,5,4877
33,Hunts Point,5,-99
33,Issaquah,5,3445
33,Kenmore,5,504
33,Kent,5,6469
33,Kirkland,5,4212
33,Lake Forest Park,5,289
33,Maple Valley,5,542
33,Medina,5,54
33,Mercer Island,5,605
33,Newcastle,5,306
33,Normandy Park,5,161
33,North Bend,5,723
33,Pacific,5,50
33,Redmond,5,4128
33,Renton,5,5609
33,Sammamish,5,676
33,SeaTac,5,641
33,Seattle,5,33771
33,Shoreline,5,2634
33,Skykomish,5,-99
33,Snoqualmie,5,243
33,Tukwila,5,6611
33,Unincorporated,5,2737
33,Woodinville,5,1746
33,Yarrow Point,5,-99
35,Bainbridge Island,5,749
35,Bremerton,5,1724
35,Port Orchard,5,2009
