'faz_id','sector_id','home_based_jobs'
4505.00,5,63.00
4505.00,7,543.00
4505.00,8,74.00
4505.00,9,171.00
4505.00,12,63.00
4506.00,2,64.00
4506.00,3,180.00
4506.00,4,111.00
4506.00,5,24.00
4506.00,7,417.00
4506.00,8,18.00
4506.00,9,39.00
4605.00,3,119.00
4605.00,4,102.00
4605.00,5,72.00
4605.00,7,519.00
4605.00,8,36.00
4605.00,9,83.00
4605.00,10,2.00
4605.00,11,14.00
4605.00,12,24.00
4606.00,2,47.00
4606.00,3,150.00
4606.00,4,102.00
4606.00,5,70.00
4606.00,7,769.00
4606.00,8,88.00
4606.00,9,200.00
4606.00,10,7.00
4606.00,11,57.00
4607.00,3,141.00
4607.00,4,142.00
4607.00,5,212.00
4607.00,7,488.00
4607.00,8,41.00
4607.00,9,94.00
4607.00,10,3.00
4607.00,11,28.00
4706.00,2,31.00
4706.00,3,126.00
4706.00,4,16.00
4706.00,5,165.00
4706.00,7,464.00
4706.00,8,22.00
4706.00,9,50.00
4706.00,10,9.00
4706.00,11,79.00
4810.00,1,6.00
4810.00,2,6.00
4810.00,3,71.00
4810.00,4,37.00
4810.00,7,344.00
4810.00,8,16.00
4810.00,9,34.00
4810.00,10,3.00
4810.00,11,28.00
4820.00,2,47.00
4820.00,5,157.00
4820.00,7,244.00
4820.00,8,9.00
4820.00,9,22.00
4820.00,10,3.00
4820.00,11,22.00
4900.00,3,24.00
4900.00,7,150.00
4900.00,10,5.00
4900.00,11,42.00
5010.00,3,63.00
5010.00,4,119.00
5010.00,5,6.00
5010.00,7,283.00
5010.00,10,2.00
5010.00,11,14.00
5010.00,12,31.00
5020.00,3,103.00
5020.00,4,55.00
5020.00,5,86.00
5020.00,7,591.00
5020.00,8,85.00
5020.00,9,198.00
5020.00,10,5.00
5020.00,11,36.00
5020.00,12,16.00
5100.00,1,22.00
5100.00,3,22.00
5100.00,4,30.00
5100.00,5,61.00
5100.00,7,155.00
5100.00,8,14.00
5100.00,9,33.00
5100.00,10,3.00
5100.00,11,34.00
5205.00,1,6.00
5205.00,4,24.00
5205.00,7,315.00
5205.00,8,37.00
5205.00,9,83.00
5205.00,10,3.00
5205.00,11,22.00
5305.00,2,174.00
5305.00,3,110.00
5305.00,4,120.00
5305.00,5,217.00
5305.00,7,557.00
5305.00,8,14.00
5305.00,9,33.00
5305.00,10,15.00
5305.00,11,122.00
5305.00,12,64.00
5306.00,2,24.00
5306.00,3,72.00
5306.00,4,119.00
5306.00,5,87.00
5306.00,7,496.00
5306.00,8,27.00
5306.00,9,60.00
5415.00,3,71.00
5415.00,4,22.00
5415.00,5,6.00
5415.00,7,237.00
5415.00,8,31.00
5415.00,9,72.00
5425.00,3,173.00
5425.00,4,94.00
5425.00,5,55.00
5425.00,7,915.00
5425.00,8,43.00
5425.00,9,99.00
5426.00,1,31.00
5426.00,2,48.00
5426.00,3,110.00
5426.00,4,40.00
5426.00,5,86.00
5426.00,7,1048.00
5426.00,8,5.00
5426.00,9,11.00
5426.00,10,13.00
5426.00,11,113.00
5426.00,12,24.00
5515.00,2,37.00
5515.00,3,166.00
5515.00,4,71.00
5515.00,5,79.00
5515.00,7,622.00
5515.00,8,61.00
5515.00,9,138.00
5515.00,10,5.00
5515.00,11,43.00
5515.00,12,16.00
5525.00,2,16.00
5525.00,3,40.00
5525.00,4,6.00
5525.00,5,48.00
5525.00,7,440.00
5525.00,8,17.00
5525.00,9,39.00
5525.00,10,3.00
5525.00,11,22.00
5525.00,12,16.00
5535.00,2,32.00
5535.00,3,79.00
5535.00,4,64.00
5535.00,5,39.00
5535.00,7,592.00
5535.00,8,38.00
5535.00,9,88.00
5535.00,10,21.00
5535.00,11,171.00
5535.00,12,31.00
5545.00,1,39.00
5545.00,2,16.00
5545.00,3,24.00
5545.00,4,93.00
5545.00,5,31.00
5545.00,7,448.00
5545.00,8,27.00
5545.00,9,61.00
5545.00,10,2.00
5545.00,11,14.00
5545.00,12,24.00
5546.00,1,31.00
5546.00,3,102.00
5546.00,4,64.00
5546.00,5,71.00
5546.00,7,654.00
5546.00,8,55.00
5546.00,9,123.00
5546.00,10,3.00
5546.00,11,22.00
5600.00,2,39.00
5600.00,3,126.00
5600.00,4,79.00
5600.00,5,63.00
5600.00,7,378.00
5600.00,8,18.00
5600.00,9,39.00
5600.00,10,3.00
5600.00,11,22.00
5715.00,2,71.00
5715.00,3,16.00
5715.00,4,102.00
5715.00,5,103.00
5715.00,7,566.00
5715.00,8,38.00
5715.00,9,88.00
5715.00,10,12.00
5715.00,11,101.00
5715.00,12,40.00
5716.00,3,6.00
5716.00,4,55.00
5716.00,5,6.00
5716.00,7,266.00
5716.00,8,42.00
5716.00,9,94.00
5716.00,10,5.00
5716.00,11,36.00
5716.00,12,6.00
5720.00,2,71.00
5720.00,3,166.00
5720.00,4,253.00
5720.00,5,71.00
5720.00,7,922.00
5720.00,8,47.00
5720.00,9,110.00
5720.00,10,27.00
5720.00,11,215.00
5720.00,12,24.00
5815.00,7,22.00
5815.00,8,11.00
5815.00,9,27.00
5815.00,12,39.00
5825.00,3,6.00
5825.00,5,24.00
5825.00,7,16.00
5826.00,7,39.00
5826.00,8,31.00
5826.00,9,72.00
5915.00,3,16.00
5915.00,4,63.00
5915.00,7,173.00
5915.00,8,86.00
5915.00,9,198.00
5915.00,10,2.00
5915.00,11,14.00
5915.00,12,31.00
5916.00,2,40.00
5916.00,4,94.00
5916.00,7,351.00
5916.00,8,34.00
5916.00,9,73.00
5916.00,10,6.00
5916.00,11,44.00
5925.00,2,24.00
5925.00,3,64.00
5925.00,4,79.00
5925.00,5,39.00
5925.00,7,321.00
5925.00,8,65.00
5925.00,9,145.00
5925.00,10,22.00
5925.00,11,186.00
5925.00,12,24.00
6010.00,7,221.00
6010.00,8,42.00
6010.00,9,94.00
6010.00,10,11.00
6010.00,11,86.00
6010.00,12,47.00
6020.00,3,119.00
6020.00,4,79.00
6020.00,5,79.00
6020.00,7,371.00
6020.00,8,16.00
