faz_id,sector_id,home_based_jobs
1120,12,186
1130,4,6
1130,7,61
1130,8,14
1130,9,32
1130,11,86
1200,2,76
1200,3,62
1200,4,94
1200,5,39
1200,7,193
1200,8,19
1200,9,44
1200,11,16
1310,2,140
1310,3,39
1310,4,16
1310,5,16
1310,7,148
1310,8,35
1310,9,82
1310,10,44
1310,11,70
1310,12,53
1320,3,23
1320,5,62
1320,7,187
1320,8,21
1320,9,49
1320,10,22
1320,11,9
1330,2,55
1330,4,12
1330,7,123
1330,8,39
1330,9,92
1330,10,4
1330,11,49
1330,12,6
1410,3,16
1410,4,47
1410,7,62
1410,8,7
1410,9,16
1410,11,16
1420,4,39
1420,5,16
1420,7,62
1420,8,9
1420,9,22
1505,2,55
1505,3,125
1505,4,45
1505,7,140
1505,8,21
1505,9,49
1505,11,6
1505,12,16
1506,2,23
1506,3,78
1506,4,203
1506,5,22
1506,7,320
1506,8,49
1506,9,115
1506,10,21
1506,11,71
1506,12,47
1605,2,78
1605,5,55
1605,7,117
1605,8,19
1605,9,44
1605,11,55
1605,12,16
1606,2,39
1606,4,6
1606,5,6
1606,7,61
1606,8,28
1606,9,64
1606,11,22
1710,3,23
1710,5,16
1710,7,23
1710,8,19
1710,9,44
1710,10,22
1710,11,9
1710,12,47
1720,2,16
1720,4,31
1720,5,23
1720,7,429
1720,8,49
1720,9,114
1720,10,16
1720,11,46
1720,12,16
1810,7,6
1820,3,23
1820,4,31
1820,5,62
1820,7,94
1820,10,27
1820,11,12
2000,3,37
2000,7,122
2000,8,5
2000,9,11
2000,11,6
2100,2,22
2100,3,69
2100,4,59
2100,5,92
2100,7,363
2100,8,22
2100,9,51
2100,10,34
2100,11,36
2100,12,6
2215,2,39
2215,3,140
2215,4,78
2215,5,47
2215,7,374
2215,8,35
2215,9,82
2215,10,11
2215,11,75
2215,12,55
2216,1,16
2216,2,70
2216,3,55
2216,4,117
2216,5,125
2216,7,335
2216,8,28
2216,9,65
2216,10,49
2216,11,224
2216,12,16
2225,1,23
2225,2,70
2225,3,94
2225,4,47
2225,5,101
2225,7,429
2225,8,12
2225,9,27
2225,10,16
2225,11,23
2910,3,16
2910,11,39
2925,1,31
2925,2,39
2925,3,39
2925,4,31
2925,5,47
2925,7,147
2925,8,26
2925,9,60
2925,10,4
2925,11,2
2926,1,39
2926,2,101
2926,3,94
2926,4,55
2926,5,94
2926,7,249
2926,8,63
2926,9,147
2926,10,11
2926,11,97
2926,12,23
2927,3,6
2927,5,6
2927,7,115
2927,8,5
2927,9,11
2927,10,11
2927,11,11
2927,12,6
2935,4,47
2935,5,6
2935,7,179
2935,8,166
2935,9,388
2936,4,39
2936,5,6
2936,7,55
2936,8,12
2936,9,27
2936,10,22
2936,11,16
2936,12,16
2940,1,16
2940,3,16
2940,4,16
2940,5,16
2940,7,203
2940,8,14
2940,9,33
2940,11,55
2940,12,16
3010,1,31
3010,2,125
3010,3,123
3010,4,39
3010,5,92
3010,7,366
3010,8,85
3010,9,199
3010,10,38
3010,11,48
3010,12,39
3020,2,62
3020,4,117
3020,5,70
3020,7,108
3020,8,58
3020,9,136
3020,10,16
3020,11,30
3020,12,47
3030,1,55
3030,2,94
3030,3,101
3030,4,55
3030,5,147
3030,7,340
3030,8,54
3030,9,126
3030,10,4
3030,11,64
3030,12,16
3045,2,39
3045,3,47
3045,4,39
3045,7,413
3045,8,26
3045,9,60
3045,10,11
3045,11,75
3045,12,109
3046,3,31
3046,5,92
3046,7,186
3046,8,51
3046,9,120
3046,10,4
3046,11,49
3110,3,6
3110,4,6
3110,7,23
3110,8,16
3110,9,38
3120,2,22
3120,3,23
3120,4,172
3120,5,39
3120,7,131
3120,8,19
3120,9,44
3120,11,37
3120,12,16
3130,3,70
3130,4,23
3130,7,156
3130,8,23
3130,9,55
3200,1,109
3200,2,140
3200,3,131
3200,4,39
3200,7,278
3200,8,30
3200,9,71
3200,10,16
3200,11,101
3200,12,55
3310,1,31
3310,2,6
3310,3,164
3310,4,62
3310,5,156
3310,7,468
3310,8,26
3310,9,60
3310,10,11
3310,11,5
3310,12,6
3320,1,31
3320,2,92
3320,3,154
3320,4,94
3320,5,70
3320,7,497
3320,8,33
3320,9,76
3320,10,11
3320,11,20
3330,1,16
3330,2,125
3330,3,101
3330,4,148
3330,5,70
3330,7,209
3330,8,12
3330,9,27
3330,10,4
3330,11,80
3413,2,23
3413,3,39
3413,4,62
