'block_id','sector_id','number_of_jobs'
' 53033020401200','12',1.00
' 53033021000201','16',5.00
' 53033021400101','12',5.00
' 53033021400101','14',3.00
' 53033021400101','16',4.00
' 53033021400101','17',4.00
' 53033021400101','18',6.00
' 53033021400101','7',6.00
' 53033021500301','17',1.00
' 53033021700501','12',3.00
' 53033021700501','13',11.00
' 53033021700501','14',9.00
' 53033021700501','17',1.00
' 53033021700501','2',4.00
' 53033021700501','7',9.00
' 53033021802200','12',20.00
' 53033021802200','6',3.00
' 53033021802204','2',3.00
' 53033021802204','3',2.00
' 53033021802204','6',1.00
' 53033021803100','16',1.00
' 53033021804200','15',40.00
' 53033021804200','16',10.00
' 53033021804200','17',1.00
' 53033021804200','3',1.00
' 53033021903104','12',1.00
' 53033021903104','13',7.00
' 53033021903104','16',2.00
' 53033021903104','2',15.00
' 53033021903104','3',1.00
' 53033021903104','7',6.00
' 53033021906101','12',1.00
' 53033021906101','13',9.00
' 53033021906101','2',5.00
' 53033021906101','3',30.00
' 53033021906101','6',43.00
' 53033021906101','7',1.00
' 53033021906301','1',26.00
' 53033022001202','14',1.00
' 53033022001202','2',1.00
' 53033022001202','7',1.00
' 53033022005200','13',3.00
' 53033022005300','12',1.00
' 53033022005300','13',1.00
' 53033022005300','14',5.00
' 53033022005300','15',1.00
' 53033022005300','16',3.00
' 53033022005300','17',2.00
' 53033022005300','2',2.00
' 53033022005300','7',8.00
' 53033022400202','13',2.00
' 53033022400400','12',2.00
' 53033022400400','13',32.00
' 53033022400400','16',5.00
' 53033022400400','7',1.00
' 53033022400402','12',1.00
' 53033022400402','13',2.00
' 53033022400402','15',1.00
' 53033022400402','17',1.00
' 53033022400402','18',157.00
' 53033022500401','12',1.00
' 53033022500401','6',1.00
' 53033022500401','7',3.00
' 53033022500502','11',1.00
' 53033022500502','12',1.00
' 53033022500502','13',35.00
' 53033022500502','16',3.00
' 53033022500502','17',2.00
' 53033022605103','12',1.00
' 53033022605103','6',1.00
' 53033022605201','13',1.00
